id,abs_magnitude,min_est_diameter,max_est_diameter,relative_velocity
3753583,24.922,0.0275521172,0.0616084069,78734.4166946516
3736681,21.2,0.1529519353,0.3420109247,78315.4205603726
2226514,20.1,0.2538370294,0.5675968529,103175.288522033
3674619,21.3,0.1460679643,0.3266178974,70196.2949857435
3608670,25.1,0.0253837029,0.0567596853,26652.6316355531
3754379,23.9,0.04411182,0.0986370281,66714.445751377
3644702,20.2,0.2424124811,0.5420507863,111504.8797219505
3295788,22.1,0.1010543415,0.2259643771,73776.7003242251
3719859,27.5,0.008405334,0.0187948982,10614.6348832276
3019647,20.6,0.2016299194,0.4508582062,86093.1610697923
2208115,20.7,0.1925550782,0.4305662442,45195.7160412241
2265482,21.0,0.1677084622,0.3750075218,28188.935033802
3145497,22.7,0.0766575574,0.1714115092,33067.5438243637
2455148,21.1,0.160160338,0.358129403,27865.7324448839
3758926,21.9,0.1108038821,0.2477650126,58358.4086513135
3182172,20.0,0.2658,0.5943468684,98651.5895654888
3724393,21.1,0.160160338,0.358129403,84985.1883800323
3736406,22.2,0.096506147,0.2157943048,43290.9558640091
3479011,20.4,0.2210828104,0.4943561926,27511.4941226015
2420286,18.8,0.4619074603,1.0328564805,75772.4774379127
3720004,25.4,0.022108281,0.0494356193,22689.0747571857
3739011,21.3,0.1460679643,0.3266178974,96590.0782751162
2196068,18.0,0.6676594135,1.4929318344,131337.2272620143
2299582,18.0,0.6676594135,1.4929318344,50930.1104989234
3014110,21.3,0.1460679643,0.3266178974,72157.670933539
3167348,21.9,0.1108038821,0.2477650126,107349.084170284
3373683,19.4,0.3503926411,0.7835017643,33497.5158818422
2163818,18.4,0.5553349116,1.2417666126,51487.7662573229
3696401,30.4,0.0022108281,0.0049435619,14252.8709592455
2465617,21.4,0.1394938229,0.3119176705,23657.5486063545
3373174,21.1,0.160160338,0.358129403,38583.07457782
3429819,21.8,0.1160259082,0.2594418179,25621.5886809621
3713008,25.8,0.0183888672,0.0411187571,38197.4999597366
3606220,20.9,0.1756123185,0.3926810818,80688.2226378973
3772396,20.62,0.1997813652,0.4467247133,53305.2878287028
2010563,16.8,1.1602590821,2.5944181791,126759.3417645534
3772993,27.197,0.0096639567,0.0216092642,33853.4765095356
