airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
GO_FIRST,G8-803,Bangalore,Evening,one,Late_Night,Mumbai,Economy,7.17,25,70
Vistara,UK-827,Mumbai,Night,one,Morning,Delhi,Economy,12.75,43,66
Vistara,UK-850,Bangalore,Evening,one,Night,Hyderabad,Business,25.0,7,513
SpiceJet,SG-678,Chennai,Early_Morning,one,Morning,Delhi,Economy,27.17,49,73
Air_India,AI-660,Mumbai,Evening,one,Morning,Chennai,Economy,14.92,7,124
AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Delhi,Economy,8.5,42,33
Vistara,UK-850,Bangalore,Evening,one,Morning,Chennai,Economy,15.92,6,159
Air_India,AI-888,Mumbai,Evening,one,Late_Night,Bangalore,Economy,29.17,15,124
Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Bangalore,Business,21.83,29,514
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,47,36
Vistara,UK-727,Delhi,Night,zero,Night,Kolkata,Economy,2.25,45,54
Air_India,AI-610,Bangalore,Evening,one,Night,Delhi,Business,25.25,18,574
Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,21,162
Indigo,6E-345,Kolkata,Morning,one,Evening,Chennai,Economy,10.0,24,88
Vistara,UK-836,Chennai,Morning,one,Evening,Kolkata,Economy,8.83,24,90
Vistara,UK-621,Mumbai,Afternoon,one,Evening,Delhi,Economy,27.5,30,66
Vistara,UK-822,Chennai,Morning,one,Early_Morning,Bangalore,Economy,22.08,19,64
Vistara,UK-841,Mumbai,Morning,two_or_more,Night,Hyderabad,Economy,11.5,4,251
GO_FIRST,G8-537,Kolkata,Evening,one,Night,Bangalore,Economy,7.25,25,88
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,26,728
Air_India,AI-888,Mumbai,Evening,one,Evening,Hyderabad,Economy,24.33,10,102
Air_India,AI-803,Delhi,Early_Morning,one,Night,Hyderabad,Economy,14.08,38,75
Indigo,6E-6016,Chennai,Evening,zero,Night,Kolkata,Economy,2.17,5,68
Indigo,6E-5329,Delhi,Morning,zero,Morning,Mumbai,Economy,2.17,26,33
Vistara,UK-837,Delhi,Evening,zero,Night,Chennai,Business,2.83,20,376
Vistara,UK-870,Hyderabad,Night,one,Evening,Kolkata,Business,23.0,35,722
Vistara,UK-822,Chennai,Morning,one,Afternoon,Delhi,Economy,4.75,23,70
Air_India,AI-439,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.83,37,32
Vistara,UK-808,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.92,32,83
Air_India,AI-570,Mumbai,Early_Morning,one,Evening,Delhi,Business,14.5,30,688
Vistara,UK-774,Kolkata,Night,one,Afternoon,Delhi,Business,17.5,12,892
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,26,325
Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Business,20.83,13,557
AirAsia,I5-783,Delhi,Early_Morning,two_or_more,Afternoon,Hyderabad,Economy,8.42,10,80
Vistara,UK-902,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.0,39,80
Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Kolkata,Business,15.83,7,698
Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Economy,14.92,28,87
Vistara,UK-993,Delhi,Afternoon,one,Evening,Kolkata,Business,7.08,49,885
Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Chennai,Business,17.08,16,697
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Chennai,Economy,9.5,16,171
Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Chennai,Economy,19.92,12,117
Vistara,UK-893,Bangalore,Evening,one,Night,Mumbai,Economy,3.08,34,65
Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Economy,8.5,27,61
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Economy,10.58,7,133
Air_India,AI-883,Delhi,Night,one,Night,Hyderabad,Economy,23.08,25,100
Air_India,AI-673,Mumbai,Early_Morning,one,Evening,Delhi,Economy,10.08,24,100
Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Bangalore,Economy,19.92,11,107
Air_India,AI-560,Delhi,Morning,one,Morning,Mumbai,Economy,25.5,25,57
GO_FIRST,G8-287,Mumbai,Morning,one,Night,Delhi,Economy,9.67,25,80
Indigo,6E-605,Chennai,Afternoon,one,Evening,Hyderabad,Economy,4.75,35,36
Air_India,AI-676,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,3.0,49,46
Vistara,UK-953,Delhi,Night,one,Morning,Chennai,Business,15.17,25,617
Air_India,AI-402,Kolkata,Morning,zero,Afternoon,Delhi,Business,2.5,37,385
Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,8.17,32,718
Indigo,6E-245,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,7.33,38,94
Vistara,UK-846,Bangalore,Morning,one,Morning,Chennai,Economy,24.33,9,133
Vistara,UK-870,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,11.33,19,60
Air_India,AI-865,Delhi,Morning,one,Morning,Bangalore,Business,24.5,21,573
GO_FIRST,G8-509,Hyderabad,Early_Morning,zero,Early_Morning,Bangalore,Economy,1.0,14,60
AirAsia,I5-319,Kolkata,Afternoon,two_or_more,Late_Night,Bangalore,Economy,11.5,14,52
Vistara,UK-826,Chennai,Afternoon,one,Evening,Bangalore,Economy,5.25,49,64
Vistara,UK-890,Hyderabad,Evening,one,Night,Mumbai,Economy,6.17,27,60
Vistara,UK-812,Bangalore,Morning,one,Evening,Kolkata,Economy,8.33,35,110
Air_India,AI-805,Delhi,Evening,one,Early_Morning,Chennai,Economy,11.33,29,54
SpiceJet,SG-191,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.5,11,100
Indigo,6E-605,Chennai,Afternoon,one,Evening,Delhi,Economy,6.25,14,106
Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Business,9.42,34,812
Indigo,6E-6491,Bangalore,Afternoon,one,Night,Kolkata,Economy,9.58,21,47
Indigo,6E-2062,Chennai,Evening,zero,Evening,Delhi,Economy,2.92,48,37
Vistara,UK-708,Kolkata,Night,one,Evening,Mumbai,Economy,20.08,33,82
Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Business,12.92,41,983
Vistara,UK-828,Chennai,Early_Morning,one,Night,Hyderabad,Economy,13.92,49,81
Air_India,AI-9745,Kolkata,Morning,one,Night,Delhi,Economy,9.33,27,59
Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,13.08,20,935
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Economy,13.58,21,85
Indigo,6E-6205,Delhi,Afternoon,one,Evening,Bangalore,Economy,5.58,22,44
Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,9.67,41,704
SpiceJet,SG-8171,Delhi,Morning,one,Morning,Bangalore,Economy,21.5,45,87
Indigo,6E-6016,Chennai,Evening,zero,Night,Kolkata,Economy,2.17,42,32
Vistara,UK-655,Mumbai,Morning,one,Evening,Delhi,Economy,5.25,35,68
Air_India,AI-865,Delhi,Morning,one,Evening,Bangalore,Business,7.83,11,573
Indigo,6E-135,Kolkata,Morning,one,Night,Bangalore,Economy,10.25,26,88
GO_FIRST,G8-7538,Mumbai,Evening,one,Night,Hyderabad,Economy,6.17,13,58
GO_FIRST,G8-364,Mumbai,Evening,one,Night,Bangalore,Economy,4.42,14,69
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,12.25,19,617
Vistara,UK-772,Kolkata,Morning,one,Late_Night,Delhi,Business,13.75,18,892
Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Business,13.33,32,1144
Air_India,AI-544,Delhi,Evening,one,Afternoon,Bangalore,Economy,21.67,22,49
Vistara,UK-830,Hyderabad,Morning,one,Night,Chennai,Economy,9.92,31,63
Vistara,UK-850,Bangalore,Evening,one,Late_Night,Delhi,Business,5.0,12,574
Air_India,AI-525,Hyderabad,Early_Morning,one,Night,Delhi,Economy,17.0,34,61
Air_India,AI-867,Mumbai,Night,one,Morning,Kolkata,Business,11.5,21,671
Vistara,UK-824,Chennai,Night,two_or_more,Afternoon,Hyderabad,Economy,15.75,28,86
GO_FIRST,G8-275,Delhi,Evening,one,Early_Morning,Kolkata,Economy,11.67,36,95
Vistara,UK-850,Bangalore,Evening,one,Morning,Chennai,Economy,15.92,5,147
Vistara,UK-963,Delhi,Morning,one,Evening,Kolkata,Economy,8.0,34,89
Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Economy,37.0,28,97
Air_India,AI-610,Bangalore,Evening,one,Night,Delhi,Economy,25.25,26,58
Vistara,UK-954,Mumbai,Early_Morning,one,Night,Bangalore,Economy,16.67,22,87
Air_India,AI-619,Mumbai,Night,one,Afternoon,Delhi,Economy,17.58,32,52
Vistara,UK-830,Hyderabad,Morning,zero,Afternoon,Delhi,Business,2.42,47,327
Air_India,AI-631,Mumbai,Evening,two_or_more,Evening,Kolkata,Economy,23.83,4,157
Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Economy,11.5,22,87
Vistara,UK-613,Mumbai,Afternoon,one,Evening,Delhi,Business,4.5,44,505
Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,11.92,32,82
Vistara,UK-775,Mumbai,Afternoon,zero,Evening,Kolkata,Business,2.83,20,424
