asteroid_id,orbit_id,min_orbit_inter,perihelion_dist,inclination
2489486,45,0.020437,0.924281132558361,15.0900047631558
2196068,38,0.026944,0.7103708384825097,59.37920241149377
2177049,79,0.000142954,0.546413680779111,0.650214690683878
2465617,22,0.0321026,0.9566387158543652,9.111115273964812
3758926,9,0.0355628,0.853338883242437,30.57608895198857
3741556,13,0.0427367,0.932695564384356,12.06866944543857
2004581,65,0.00343534,0.6574179401843111,4.919344709365778
3674619,8,0.0182031,0.3553091176397649,2.544707376716897
2443103,115,0.0132207,0.8360130223329336,21.46918685795774
3005956,16,0.0382994,0.898228057378808,4.757951182248021
3367027,29,0.0234425,0.3796752782845421,11.0761908830863
3463175,23,0.0400648,0.8929988308766823,33.14970024008399
3440397,26,0.00799405,0.6808684083377344,0.9209450537747632
2385186,207,0.0197655,1.021513918573853,24.09537414994134
2088254,121,0.0100036,0.4377588000905317,1.521417366146007
2333578,83,0.0130652,0.9807581153860272,11.68216017014653
2005604,146,0.0331798,0.5515659335973813,4.713586625633988
3249347,24,0.0474329,1.034101312007234,23.19257248011608
3745504,23,0.0234374,0.6394975664205763,5.151032467123238
3591721,16,0.0132739,0.7554702058495483,8.621482238812026
3522123,26,0.0358855,0.509204095533785,16.92122311377372
2465824,38,0.00557885,0.7182579260378743,14.23778990443233
3781344,5,0.00468478,0.4717809574088801,3.01360811259089
3476134,19,0.0345562,0.9324765508133434,38.94931610061416
2041429,68,0.0108978,0.7082087698238752,2.17319489354905
3125003,29,0.00488139,0.6229620488081204,8.830020810798137
3600242,19,0.0298515,0.444784135754576,53.62974053734999
3714452,17,0.0281473,0.3266291342534523,4.559941010630234
2417419,51,0.0482532,1.046291031234449,9.354954175523329
2068347,37,0.0138031,0.5972070578850468,17.13790871412698
2230111,113,0.0423433,0.5192998720571724,17.50753782837232
2234145,57,0.0105299,0.6364356823921107,5.431743760597886
3549694,23,0.0205144,0.70683697359454,26.00498888387507
3014110,26,0.0203437,0.4816480677135573,23.15410035710394
3429819,22,0.040166,1.018890096047585,4.01629452218004
2314082,55,0.0197173,0.9510206394415868,16.14284854240449
3579078,31,0.00015193,0.4687510977391751,19.22999998478269
2138971,167,0.0233526,0.6895251091118825,7.901792318502172
2065679,87,0.014081,0.67277738347233,1.299779773515747
3467355,21,0.0436879,0.8070675320648816,8.444357829868622
2438908,68,0.00179697,0.8498384143450262,0.3538737115975904
2357439,94,0.00924442,0.8974330152893197,23.77503147536866
3604307,38,0.0479373,0.9350058539964624,11.31976192900079
3486442,20,0.0326204,0.4989803906193552,6.045502360378742
2100085,92,0.0255891,1.012037236567038,2.640715843308767
3443811,16,0.0110233,0.8356227681987878,3.932545027864432
2455148,69,0.0233345,0.8763996779405355,5.214733497691834
2004769,89,0.0203525,0.5495451562899683,8.88515554138232
2413577,74,0.00550907,0.4027899816894212,14.31793051673601
3761549,8,0.012568,0.993025127275619,30.28570204548532
3092385,7,0.0217859,0.7949816365195642,15.56481203437448
3479011,55,0.0306929,0.6905761211784882,9.834744247511509
2434326,33,0.03814,0.2977907292345986,18.94493054984403
3393169,36,0.0113181,0.7279754212864895,22.85879765054557
2297418,119,0.0188446,0.4324874167110099,10.34982551763828
2411165,18,0.0436135,0.7944385856092195,20.07496488649296
2433953,77,0.000135863,0.8600543240375536,7.191869414357382
3324630,38,0.00449032,0.4290363533573858,16.45220467927301
3177204,16,0.0475717,0.455805088561519,10.16751618237268
2482796,78,0.0242684,0.5515255228451419,18.14805013584654
3661368,20,0.0417191,0.4792920874735183,15.02022440821165
3755203,9,0.0126644,0.1615373821381569,17.75270921345073
2085938,112,0.0221239,0.9569249683908944,9.145915991821257
3549618,31,0.0132848,0.8080058630540645,26.28911314058858
3672669,42,0.00185561,0.9074364876154892,13.76175519853685
3606253,30,0.0148263,0.7201706139299457,7.098165086367375
2488490,34,0.0181806,0.747816497410525,2.408373826125851
3256319,16,0.0133879,1.000054704814685,22.50375358846119
