year,month,total_orders,gross_sales,discounts,returns,total_sales
2021,January,83,8923.0,-217.1,-26.25,8679.65
2021,February,69,6529.2,-161.35,-118.15,6249.7
2021,March,64,7442.7,-226.82,-8.8,7207.08
2021,April,81,9406.35,-232.28,-40.0,9134.07
2021,May,82,7493.9,-221.25,-1448.02,5824.63
2021,June,124,13260.8,-335.4,-1506.53,11418.87
2021,July,102,9274.95,-237.87,-689.98,8347.1
2021,August,82,7698.7,-140.57,-197.35,7360.78
2021,September,79,10582.85,-276.15,0.0,10306.7
2021,October,71,7014.5,-277.95,-294.75,6441.8
2021,November,140,12002.7,-414.45,-154.4,11433.85
2021,December,164,13683.5,-371.2,-928.35,12383.95
