category,beverage,option,calories,total_carbohydrates(g),total_fat(g),protein(g),cholesterol(mg),caffeine(mg)
Classic Espresso Drinks,Skinny Latte (Any Flavour),Grande Nonfat Milk,120,160,0.3,12.0,18,150
Signature Espresso Drinks,Caramel Macchiato,Grande Nonfat Milk,190,130,1.0,11.0,35,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Short Nonfat Milk,60,80,0.1,6.0,9,75
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230,190,0.2,4.0,53,0
Classic Espresso Drinks,Caffè Latte,Grande Nonfat Milk,130,150,0.3,13.0,19,150
Classic Espresso Drinks,Caffè Americano,Tall,10,10,0.0,1.0,2,150
Classic Espresso Drinks,Cappuccino,Soymilk,70,65,3.0,5.0,7,75
Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,80,90,0.2,8.0,12,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Venti Nonfat Milk,250,180,0.3,15.0,47,150
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,240,170,5.0,4.0,47,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall Nonfat Milk,150,110,0.2,9.0,28,75
Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,170,95,4.0,7.0,26,25
Classic Espresso Drinks,Caffè Americano,Grande,15,15,0.0,1.0,3,225
Classic Espresso Drinks,Cappuccino,Soymilk,120,110,4.5,9.0,11,150
Classic Espresso Drinks,Caffè Latte,Soymilk,110,105,4.5,8.0,10,75
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,110,30,1.0,2.0,23,125
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310,250,4.0,5.0,67,110
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180,160,0.1,3.0,42,70
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,270,190,4.5,12.0,47,75
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Short Nonfat Milk,130,70,1.5,7.0,26,10
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220,170,3.0,4.0,47,75
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,210,0.1,3.0,26,95
Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,310,140,6.0,11.0,50,80
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,200,160,3.0,3.0,42,70
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,170,45,1.5,3.0,34,170
Classic Espresso Drinks,Caffè Latte,2% Milk,150,135,6.0,10.0,15,75
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Soymilk,250,125,7.0,12.0,41,25
Frappuccino® Blended Coffee,Coffee,Soymilk,310,300,2.5,5.0,68,130
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Grande Nonfat Milk,350,240,6.0,15.0,61,150
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),2% Milk,150,80,4.5,7.0,26,10
