name,matches,minutes,goals,assists
Harry Kane,37.0,3229,17,9
Dejan Kulusevski,18.0,1276,5,8
Steven Bergwijn,25.0,518,3,1
Pierre-Emile Højbjerg,36.0,3202,2,2
Lucas Moura,34.0,1770,2,6
Davinson Sánchez,23.0,1618,2,0
Matt Doherty,15.0,864,2,4
Sergio Reguilón,25.0,1929,2,3
Ben Davies,,2542,1,1
Tanguy NDombele Alvaro,9.0,490,1,1
Cristian Romero,22.0,1850,1,0
Emerson,31.0,2296,1,1
Hugo Lloris,38.0,3420,0,0
Eric Dier,35.0,3071,0,0
Harry Winks,19.0,896,0,1
Giovani Lo Celso,9.0,223,0,0
Rodrigo Bentancur,17.0,1376,0,4
Joe Rodon,3.0,86,0,0
Ryan Sessegnon,15.0,1065,0,2
Oliver Skipp,18.0,1340,0,0
Bryan Gil Salvatierra,9.0,76,0,0
Japhet Tanganga,11.0,751,0,0
Dane Scarlett,1.0,2,0,0
