title,country,province,region_1,region_2,winery,points,price
L'Ecole No. 41 2016 Chardonnay (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,L'Ecole No. 41,91.5,22.8
Hanging Vine 2007 Parcel 4 Chardonnay (Lodi),US,California,Lodi,Central Valley,Hanging Vine,82.3,12.8
Irony 2008 Pinot Noir (Monterey County),US,California,Monterey County,Central Coast,Irony,85.4,15.6
Sonoma-Cutrer 2008 Russian River Ranches Chardonnay (Sonoma Coast),US,California,Sonoma Coast,Sonoma,Sonoma-Cutrer,92.8,23.3
Gibbs 2013 Money Road Vineyard Merlot (Oakville),US,California,Oakville,Napa,Gibbs,85.0,24.7
Testarossa 2011 Cuvée Los Gatos Pinot Noir (Monterey County),US,California,Monterey County,Central Coast,Testarossa,87.1,27.9
Cooper Station 2013 Cabernet Sauvignon (Lodi),US,California,Lodi,Central Valley,Cooper Station,86.7,11.6
Zaca Mesa 2011 Roussanne (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Zaca Mesa,88.8,26.0
Pali 2014 Huntington Pinot Noir (Santa Barbara County),US,California,Santa Barbara County,Central Coast,Pali,91.1,25.0
Cycles Gladiator 2007 Pinot Grigio (Central Coast),US,California,Central Coast,Central Coast,Cycles Gladiator,82.6,10.2
Joseph Jewell 2010 Pinot Noir (Russian River Valley),US,California,Russian River Valley,Sonoma,Joseph Jewell,87.9,33.0
Williams Selyem 2010 Eastside Road Neighbors Pinot Noir (Russian River Valley),US,California,Russian River Valley,Sonoma,Williams Selyem,90.2,52.2
Swanson 2012 Salon Wine Selection Chardonnay (Napa Valley),US,California,Napa Valley,Napa,Swanson,87.2,45.9
Iron Horse 2010 Rued Clone Chardonnay (Green Valley),US,California,Green Valley,Sonoma,Iron Horse,93.1,49.0
Sanguis 2009 Some Poets Syrah (Santa Barbara County),US,California,Santa Barbara County,Central Coast,Sanguis,91.2,75.2
Groth 2007 Cabernet Sauvignon (Oakville),US,California,Oakville,Napa,Groth,87.0,55.4
Jarvis 2009 Estate Grown Merlot (Napa Valley),US,California,Napa Valley,Napa,Jarvis,91.8,95.5
Vine Cliff 2004 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Vine Cliff,92.2,55.3
Merryvale 2010 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Merryvale,91.8,65.5
Millbrook 2013 Proprietor's Special Reserve Merlot (New York),US,New York,New York,New York Other,Millbrook,87.3,35.7
Coquelicot 2013 Mon Amor Red (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Coquelicot,91.4,45.5
Foppiano 2015 Della's Block Chardonnay (Russian River Valley),US,California,Russian River Valley,Sonoma,Foppiano,91.9,37.7
Big Basin 2012 Coastview Vineyard Syrah (Monterey County),US,California,Monterey County,Central Coast,Big Basin,93.8,48.5
